answer,solution,label,problem
342,"Assuming there are $2^{h}$ closed lockers in a row, the number of the last locker opened by the student is denoted as $a_{k}$. When the student first reaches the end of the hallway, $2^{k-1}$  lockers remain closed. These closed lockers are all even-numbered, arranged in decreasing order from the student's standing position towards the other end. Now, these lockers are renumbered from 1 to $2^{k-1}$. Note that the originally numbered locker $n$ (where $n$ is even) becomes locker number $2^{k-1}-\frac{n}{2}+1$. According to the new numbering, the number of the locker the student opens last should be $a_{k-1}$ ,  while the originally numbered $a_{k}$ is now numbered as $a_{k-1}$ . Therefore
\[
\begin{array}{l}
a_{k-1}=2^{k-1}-\frac{a_{k}}{2}+1 \\
\Leftrightarrow a_{k}=2^{k}+2-2 a_{k-1} \\
=2^{k}+2-2\left(2^{k-1}+2-2 a_{k-2}\right) \\
=4 a_{k-2}-2 \\
\Rightarrow a_{k}-\frac{2}{3}=4\left(a_{k-2}-\frac{2}{3}\right)
\end{array}
\]
Given that $a_{0}=1$, and $a_{1}=2 $, we have: \\

When k is even,

$a_{k}-\frac{2}{3}=\left(a_{0}-\frac{2}{3}\right) 4^{\frac{k}{2}} \Rightarrow a_{k}=\frac{1}{3}\left(4^{\frac{k}{2}}+2\right) ;$

When k is odd,,
$a_{k}-\frac{2}{3}=\left(a_{1}-\frac{2}{3}\right) 4^{\frac{k-1}{2}} \Rightarrow a_{k}=\frac{1}{3}\left(4^{\frac{k+1}{2}}+2\right).$

Here [x] represents the greatest integer not exceeding x.

Thus $a_{k}=\frac{1}{3}\left(4^{\left[\frac{k+1}{2}\right]}+2\right)(k \in \mathbf{N}) . $
For this problem, when $k=10, a_{10}=\frac{1}{3}\left(4^{5}+2\right)=342 $, indicating that the last locker opened is numbered 342.",Combinary-30,"A student walks through a hallway with a row of closed lockers numbered from 1 to 1024. He starts by opening locker number 1, then proceeds forward, alternately leaving untouched or opening one closed locker. When he reaches the end of the hallway, he turns around and walks back, opening the first closed locker he encounters. The student continues this back and forth journey until every locker is opened. The number of the last locker he opens is \_\_\_\_\_."
91,"Because the angle of inclination of line ll is acute,  ab<0 . Counting is carried out in the following two cases:

(1) If $a$, $b$, and $c$ are all not equal to 4, then $a, b, c \in\{-3 , -2, \cdots, 3\} $. Without loss of generality, assume $a>0$ and $b<0$.
If $c=0$,  there are 7 lines; if $c \neq 0$ , there $3 \times 3 \times 4=36$ lines. In this case, there are a total of 43 distinct lines.

(2) If one of $a$, $b$, or $c$ is 4. Let $a=4$, then $b<0$,  there are 3 choices for b, and 6 choices for $c$, resulting in 18 lines (with duplicates). Among them, $4x-2y=0,4x-2y+ 2=0$  are counted twice, so there are only 16 distinct lines. Similarly, when $b=4$ or $c=4$, there are also 16 distinct lines for each case.
In conclusion, there are $43+16×3=9143+16×3=91$ distinct lines with acute angles of inclination.",Combinary-31,"Let $A=\{-3,-2, \cdots, 4\}, a, b, c \in A$ be distinct elements of A. If the angle of inclination of the line: $a x+b y+c=0$ is acute, then the number of such distinct lines is \_\_\_\_\_."
980,"Because there are three occurrences each of ""ab"" and ""ba"", there are two possible cases for such sequences:

(1).(a)(b)(a)(b)(a)(b)(a) ;

(2).(b)(a)(b)(a)(b)(a)(b) (here, (a) denotes a segment composed entirely of aa, and (b) denotes a similar segment composed entirely of b).

For case (1), since there are five ""aa""s and three ""bb""s, the sequence contains a total of 9 aa's and 6 bb's. The 9 a's can be partitioned into 4 segments, which equals the number of positive integer solutions to the equation $x_{1}+x_{2}+x_{3}+x_{4}=9 $ which is $\mathrm{C}_{9-1}^{4-1}=\mathrm{C}_{8}^{3}$. Similarly, the 6 b's can be partitioned into 3 segments, which is  $\mathrm{C}_{8}^{3} \mathrm{C}_{5}^{2}$.

For case (2), there are 8 aa's and 7 bb's, resulting in $\mathrm{C}_{7}^{2} \mathrm{C}_{6}^{3}$ possibilities.

Therefore, the total count is
$\mathrm{C}_{8}^{3} \mathrm{C}_{5}^{2}+\mathrm{C}_{7}^{2} \mathrm{C}_{6}^{3}=980 $.",Combinary-32,"In a sequence of length 15 consisting of $a$ and $b$, if exactly five ""aa""s occur and both ""ab"" and ""ba"" and ""bb"" occur exactly three times, there are \_\_\_\_\_ such sequences."
5880,"Using a recursive approach, let $S_{n}$, denote the number of n-digit numbers formed by the digits $1,2, \cdots, 6$ such that 1 and 6 are not adjacent. 

Clearly, $S_{1}=6$ and $S_{2}=6^{2}-2=34$. Now we establish the recursive formula for $S_n$. We divide $S_n$ into three categories: 

Let $a_{n}$ denote the number of nn-digit numbers with the first digit being 1, $b_{n}$ denote the number of nn-digit numbers with the first digit being 2, 3, 4, or 5, and $c_{n}$ 

It's evident that $S_{n}=a_{n}+b_{n}+c_{n}$, and
\[
\begin{array}{l}
a_{n}=a_{n-1}+b_{n-1}, \\
b_{n}=4\left(a_{n-1}+b_{n-1}+c_{n-1}\right), \\
c_{n}=b_{n-1}+c_{n-1} .
\end{array}
\]
Then $S_{n}=5\left(a_{n-1}+b_{n-1}+c_{n-1}\right)+b_{n-1}$
\[
\begin{array}{l}
=5 S_{n-1}+4 S_{n-2}(n \geqslant 3) . \\
\end{array}
\]
From $S_{1}=6$ and $S_{2}=34$ and we get 
$S_{3}=194, S_{4}=1106, S_{5}=6306 $.

Subtracting the cases where there is exactly one digit or exactly two digits, and 1 and 6 are not adjacent, from $S_{5}$, there are  $\left(\mathrm{C}_{6}^{2}-1\right)\left(2^{5}-2\right)=420$. 

Therefore, the number of five-digit numbers satisfying the condition is  6306-6-420=5880.",Combinary-33,"Among the five-digit numbers formed by the digits 1, 2, ..., 6, the number of five-digit numbers satisfying the condition of having at least three different digits and 1 and 6 not being adjacent is \_\_\_\_\_."
61,"Let \( a = mx \) and \( b = my \) (\( x \) and \( y \) are coprime). Then we have \( \frac{[a, b]}{(a, b)} = xy \). To ensure that \( xy \) is not a perfect square, \( x \) and \( y \) cannot both be square numbers. In other words, the two numbers cannot both be perfect squares after dividing them by their greatest common divisor. Based on this principle, construct the following sets: \( (1,4,9,16,25,36,49,64,81,100), (2,8,18,32,50,72,98), (3,12,27,48,75), (5,20,45,80), (6,24,54,80), (7,28,63), (10,40,90), (11,44,99), (13,52), (14,56), (15,60), (17,68), (19,76), (21,84), (22,88), (23,92) \), and there are 45 individual numbers. Selecting one number from each set, a maximum of \( 16 + 45 = 61 \) numbers can be chosen to meet the requirement.",Combinary-34,How many numbers can be selected at most from 1 to 100 to ensure that the quotient of the least common multiple and greatest common divisor of any two numbers is not a perfect square?
26,"First, when selecting 25 prime numbers, none of them can divide the product of the remaining 24 numbers. When \( m = 25 \), the condition cannot be satisfied, so \( m \) must be greater than 25.

Next, we prove that by selecting any 26 numbers from 1 to 100, there will always be one number that can divide the product of the remaining 25 numbers.

Let these 26 numbers be \( a, b, c, \ldots, z \). Since there are only 25 prime numbers from 1 to 100, we can express these 26 numbers in their prime factorization form:

\[ a = 2^{a_1} \times 3^{a_2} \times 5^{a_3} \times \cdots \times 97^{a_{25}} \]
\[ b = 2^{b_1} \times 3^{b_2} \times 5^{b_3} \times \cdots \times 97^{b_{25}} \]
\[ z = 2^{z_1} \times 3^{z_2} \times 5^{z_3} \times \cdots \times 97^{z_{25}} \]

From these 26 numbers, first, remove the one with the highest exponent of 2 (if there are ties, remove any one of them). Then, from the remaining 25 numbers, remove the one with the highest exponent of 3, then remove the one with the highest exponent of 5, and so on.

After removing 25 numbers, the remaining number will have exponents for each prime factor that do not exceed the maximum exponent among the 26 numbers. Therefore, this remaining number will definitely divide the product of the remaining 25 numbers.",Combinary-35,"From the natural numbers 1 to 100, choose any \( m \) numbers such that among these \( m \) numbers, there exists one number that can divide the product of the remaining \( m-1 \) numbers. The minimum value of \( m \) is \_\_\_\_\_."
9,"Assume in a tournament with n teams, there are 3 weak teams, meaning the other n-3 teams are strong teams. There will be a total of $4n/2=2n$ games, resulting in 2n losses. Each weak team can lose up to 4 games, and each strong team can lose up to 1 game. Therefore, we have: $2n \leq 3×4 + n-3$, from which we derive: $n \leq 9$. Hence, there can be at most 9 teams.

The construction is as follows: Teams 1, 2, 3, and 4 win against Team 7; Teams 3, 4, 5, and 6 win against Team 8; Teams 5, 6, 1, and 2 win against Team 9; Team 1 beats Team 2, Team 2 beats Team 3, Team 3 beats Team 4, Team 4 beats Team 5, Team 5 beats Team 6, and Team 6 beats Team 1; Teams 1 through 6, each with 3 wins and 1 loss, are the strong teams, while Teams 7, 8, and 9, each with 4 losses, are the weak teams.",Combinary-36,"Several teams are participating in a friendly football match, where any two teams play at most one match against each other. It is known that each team has played 4 matches, and there are no draws. A team is considered a ""weak team"" if it loses at least 2 out of the 4 matches it plays. If there are only 3 ""weak teams"" in this friendly match, then at most how many teams could have participated in the matches?"
3125,"The original expression can be transformed using the principle of place value into: 

$$
(\overline{a b})^{c} \times \overline{a c d}=\overline{a b c a c d}
$$

According to this equation, where the same letter represents the same digit, and different letters represent different digits, let's analyze the possibilities:

First, we consider the case where \(c=3\):

Since \(20^{3} \times 200=1600000\), exceeding six digits, we conclude that \(a=1\). Thus, the equation becomes:

$$
\left[(\overline{1 b})^{3}-1\right] \times \overline{13 d}=\overline{1 b 3} \times 1000
$$

However, since there are 3 factors of 5 on the right side of the equation, and \(\overline{13 d}\) can only provide at most 1 factor of 5, we infer that \((\overline{1 b})^{3}-1\) must be a multiple of 25. This implies that the last two digits of \((\overline{1})^{3}\) can be \(01, 26, 51,\) or \(76\). By considering the units place, we find that \(b=1\) or \(6\), but neither of these options satisfies the conditions.

Next, let's explore the case where \(c=2\). This yields:

$$
\left[(\overline{a b})^{2}-1\right] \times \overline{a 2 d}=\overline{a b 2000}
$$

From this equation, we deduce that:

$$(\overline{a b})^{2}-1=1000 \times \frac{\overline{a b 2}}{\overline{a 2 d}}$$

Because \(0.5<\frac{\overline{a b 2}}{\overline{a 2 d}}<2\), we conclude that \(500<(\overline{a b})^{2}-1<2000\). Hence, \(a\) can be \(2, 3,\) or \(4\). However, since \(\overline{a 2 d}\) cannot be 125 or 625, it can provide at most 2 factors of 5. Therefore, \((\overline{a b})^{2}-1\) must be a multiple of 5, leading to the possible values \(b=1, 9, 4,\) or \(6\).

Based on the equation \(\left[(\overline{a b})^{2}-1\right] \times \overline{a 2 d}=\overline{a b 2000}\), we have:

(1) \((\overline{a b}+1) \times \overline{a 2 d}=\overline{a b 2000} \div(\overline{a b}-1)>1000\)

(2) \((\overline{a b}-1) \times \overline{a 2 d}=\overline{a b 2000} \div(\overline{a b}+1)<1000\)

Consequently, \(a\) can only be 3. Then, \((\overline{a b}-1) \times(\overline{a b}+1)\) cannot be a multiple of 25, implying that \(\overline{a 2 d}\) must be a multiple of 25. Thus, \(d=5\), and \(\overline{a 2 d}=325\).

Now, \((\overline{3 b}-1) \times(\overline{3 b}+1) \times 325=\overline{3 b 2000}\), where \(\overline{3 b 2000}\) is a multiple of 16. This means that either \((\overline{3 b}-1)\) or \((\overline{3 b}+1)\) must be a multiple of 8. Therefore, \(b\) can be 1 or 3. Since \(a=3\), \(b\) can only be 1.

After verifying: \(31^{2} \times 325=312325\), so \(\overline{a b c d}=3125\).",Combinary-37,"In the equation, the same letter represents the same digit, and different letters represent different digits. Then, the four-digit number \(\overline{a b c d}\) is given by:

$$
(\overline{a b})^{c} \times \overline{a c d}=\overline{a b c a c d}
$$"
116,"For a nonzero natural number $a$, if it can be expressed as the difference of squares of two nonzero natural numbers, let $a=m^{2}-n^{2}$ (here $m$ and $n$ are both nonzero natural numbers, and $m>n$). Since $m^{2}-n^{2}=(m-n)(m+n)$, both $m-n$ and $m+n$ are factors of the natural number $a$. Considering that the parity of $m-n$ and $m+n$ is the same, thus for any pair of positive integers $p$ and $q$ with the same parity $(p>q)$, their product $pq$ can always be expressed as the difference of squares of two nonzero natural numbers, $\left(\frac{p+q}{?}\right)^{2}-\left(\frac{p-q}{?}\right)^{2}$ is the corresponding representation. This indicates that as long as we can find out how many pairs of positive integers $(p, q)$ with the same parity exist such that $p>q$ and $1 \leq pq \leq 100$, the number of such pairs exactly equals the value of $F(1)+F(2)+F(3)+\cdots+F(100)$. Classification calculation:

When $q=1$, $p$ can take 3, 5, 7, $3, 99$, there are 49 pairs $(p, q)$ satisfying the condition;

When $q=2$, $p$ can take $4, 6, 8, \ldots, 50$, there are 24 pairs $(p, q)$ satisfying the condition;

When $q=3$, $p$ can take 5, 7, 9, ...33, there are 15 pairs $(p, q)$ satisfying the condition;

When $q=4$, $p$ can take $6, 8, 10, \ldots, 24$, there are 10 pairs $(p, q)$ satisfying the condition;

When $q=5$, $p$ can take $7, 9, 11, \ldots, 19$, there are 7 pairs $(p, q)$ satisfying the condition;

When $q=6$, $p$ can take $8, 10, 12, 14, 16$, there are 5 pairs $(p, q)$ satisfying the condition;

When $q=7$, $p$ can take $9, 11, 13$, there are 3 pairs $(p, q)$ satisfying the condition;

When $q=8$, $p$ can take $10, 12$, there are 2 pairs $(p, q)$ satisfying the condition;

When $q=9$, $p$ can only take 11, there is only 1 pair $(p, q)$ satisfying the condition;
When $q>9$, there are no pairs $(p, q)$ satisfying the condition.

In conclusion, there are a total of 116 pairs satisfying the condition, which is the desired result.",Combinary-39,"Let $n$ be represented as the difference of squares of two nonzero natural numbers, then there are $F(n)$ ways to do so.

For example, $15=8^{2}-7^{2}=4^{2}-1^{2}$, so $F(15)=2$; whereas 2 cannot be represented, hence $F(2)=0$. Then, the calculation result of $F(1)+F(2)+F(3)+\cdots+F(100)$ is \_\_\_\_\_."
D,"By plugging in the variables for x, y, and z, we arrive at the equation $8\times (-2)3-3\times (-2)\times 32+121$ which evaluates to $-64+9+11$, leading to the answer -44.",Alg1,"What is the simplified value of the expression, $8x^3-3xy+\sqrt{p}$, if $p=121$, $x=-2$, and $y=\frac{3}{2}$?
\begin{align*}
\text{A)}\ & 84 &
\text{B)}\ & 73+\sqrt{11}\\
\text{C)}\ & -28  &
\text{D)}\ & -44\\
\end{align*}"
B,"The phrase “the product of” refers to multiplying the next two groupings mentioned. In this case, our next two groupings are “twice a quantity x” and “the difference of that quantity and 7”. We can evaluate this first group as 2x and the second group as $(x-7)$. Multiplying the two results in $2x(x-7)$.",Alg2,"Which expression best represents “the product of twice a quantity x and the difference of that quantity and 7”? 
\begin{align*}
\text{A)}\ & 2x(7-x) & 
\text{B)}\ & 2x(x-7) \\
\text{C)}\ & 2x-(x-7) & 
\text{D)}\ & 2(x-7)\\
\end{align*}"
C,"Given that the area is 62 square meters and the height is 4 meters, we can arrive at the equation $62 = \frac{1}{2}b \cdot 4$. This can be simplified to $62 = 2b$ and further to $b = 31$.",AI-Geometry1,"The formula for the area of a triangle is $A = \frac{1}{2}bh$. The area of a triangle is 62 square meters, and its height is 4 meters. What is the length of the base?

\noindent Options:\\
A) 15.5 m\\
B) 27 m\\
C) 31 m\\
D) 62 m"
A,First simplify the expression by expanding the exponents through the equation: $(-m^6n^{-9})\cdot(16m^{-2}n^4p^6)$. Combining like terms results in $-16\times m^4\times n^{-5}\times p^6$.,Alg4,"Simplify: $(-m^2n^{-3})^3 \cdot (4m^{-1}n^2p^3)^2$
\begin{align*}
\text{A)}\ & \frac{-16m^4p^6}{n^5} &
\text{B)}\ & \frac{16m^3p^5}{n^2} \\
\text{C)}\ & \frac{8m^3p^5}{n^2}  &
\text{D)}\ & \frac{-16m^6p^9}{n^{23}}\\
\end{align*}"
C,Using law of exponents and combining like terms arrives at answer C.,Alg5,"If $M=24a^{-2}b^{-3}c^5$ and $N=18a^{-7}b^6c^{-4}$, then $\frac{N}{M}=$
\begin{align*}
\text{A)}\ & \frac{4a^5c^9}{3b^9} &
\text{B)}\ & \frac{4a^5c}{3b^3} \\
\text{C)}\ & \frac{3b^9}{4a^5c^9}  &
\text{D)}\ & \frac{3b^3}{4a^5c}\\
\end{align*}"
A,"we can first divide the volume of the rectangular prism by $2x^3$ to get $x^2+8x+12$. Factoring this expression results in $(x+6)(x+2)$. Therefore, the answer is A",Alg6,"The volume of a rectangular prism is $2x^5 + 16x^4 + 24x^3$. If the height of the rectangular prism is $2x^3$, which of the following could represent one of the other dimensions of the rectangular prism?
\begin{align*}
\text{A)}\ & (x+2) &
\text{B)}\ & (x+3) \\
\text{C)}\ & (x+4)  &
\text{D)}\ & (x+12)\\
\end{align*}"
B,Multiplying out the expression with FOIL (first outer inner last) nets $6x^3 + 3x - 2x^2 - 1$.,AI-Algebra2,"Which expression is equivalent to $(3x - 1)(2x^2 + 1)$?

\noindent Options:\\
A) $6x^3 - 2x^2 - 3x + 1$\\
B) $6x^3 - 2x^2 + 3x - 1$\\
C) $5x^3 - 2x^2 + 3x - 1$\\
D) $5x^3 - x^2 + 4x$"
C,We first observe that this follows the pattern for a perfect square binomial. This leads us to the answer \( (8b - 1)^2 \).,AI-Algebra3,"Factor \( 64b^2 - 16b + 1 \) completely.

\noindent Options:\\
A) \( (32b - 1)(32b + 1) \)\\
B) \( (b - 8)^2 \)\\
C) \( (8b - 1)^2 \)\\
D) \( (8b + 1)^2 \)"
B,$6\sqrt[3]{64}$ can be simplified into 24 by basic arithmetic rules. $12\cdot2\sqrt{27}$ can be reduced to $2\sqrt{324}$ which is equivalent to 36. Finally  $24-36= -12$.,Alg9,"Simplify $6\sqrt[3]{64}-\sqrt{12}\cdot 2\sqrt{27}$
\begin{align*}
\text{A)}\ & 12  &
\text{B)}\ & -12  \\
\text{C)}\ & 24-12\sqrt{3}  &
\text{D)}\ & 48-72\sqrt{3}\\
\end{align*}"
C,Take out any variable or constant that has a squared factor: $4x^2yz\sqrt{5xz}$,Alg10,"What is the simplified form of $\sqrt{80x^5y^2z^3}$? Assume all variables are positive.
\begin{align*}
\text{A)}\ & 16x^2yz\sqrt{5xz} &
\text{B)}\ & 16xyz\sqrt{5x^3z}  \\
\text{C)}\ & 4x^2yz\sqrt{5xz}  &
\text{D)}\ & 4\sqrt{5x^5y^2z^3}\\
\end{align*}"
C,"A,B,D all equivalent to -4 except C leads to 3.",Alg11,"Which of the following is NOT equivalent to $-4$?
\begin{align*}
\text{A)}\ & 2\sqrt{9}-5\sqrt[3]{8} &
\text{B)}\ & 3\sqrt[3]{64}-2\sqrt{64} \\
\text{C)}\ & 2\sqrt{121}-3\sqrt[3]{216}  &
\text{D)}\ & 4\sqrt{25}-8\sqrt[3]{27}\\
\end{align*}"
D,First move all terms to one side: $15x^2-2x-8=0$. Then factor into $(5x-4)(3x+2)=0$. Setting $5x-4$ to zero results in a solution of $x = \frac{4}{5}$ and setting $3x+2$ to zero results in a solution of $x = -\frac{2}{3}$.,Alg12,"What are the solutions of the quadratic equation $15x^2=2x+8$
\begin{align*}
\text{A)}\ & \{-\frac{4}{3},-\frac{3}{2}\} &
\text{B)}\ & \{-\frac{4}{5},\frac{2}{3}\} \\
\text{C)}\ & \{-\frac{3}{2},\frac{4}{5}\}  &
\text{D)}\ & \{-\frac{2}{3},\frac{4}{5}\}\
\end{align*}"
A,"First distribute and expand to $12y-20 = 14y+6$. Combine like terms to arrive at $2y = -26$. Thus, $y = -13$.",Alg13,"Find the solution of $4(3y-5)=2(7y+3)$
\begin{align*}
\text{A)}\ & -13 &
\text{B)}\ & -4 \\
\text{C)}\ & \frac{11}{2}  &
\text{D)}\ & 13\
\end{align*}"
A,"Utilize the quadratic formula with $a = 1$, $b=2$, and $c = -7$. $\frac{-2\pm\sqrt{2^2+28}}{2} = -1\pm \sqrt{8} = -1\pm 2\sqrt{2}$.",Alg14,"Solve the equation $x^2-7+2x=0$
\begin{align*}
\text{A)}\ & \{-1-2\sqrt{2},-1+2\sqrt{2}\} &
\text{B)}\ & \{1-2\sqrt{2},1+2\sqrt{2}\}\\
\text{C)}\ & \{\frac{-7-\sqrt{41}}{2},\frac{-7+\sqrt{41}}{2}\}  &
\text{D)}\ & \{\frac{7-\sqrt{41}}{2},\frac{7+\sqrt{41}}{2}\}\
\end{align*}"
C,"We can create a system of equations $8x+6y = 1500$ and $x+y=210$. By rearranging the second equation to $y = 210-x$ and plugging $210-x$ in for y in the first equation, we get 8x+1260-6x = 1500 which evaluates to $2x = 240$. Therefore $x = 120$ and $y = 90$.",Alg15,"At a movie theater, the adult ticket price is \$8 and the child ticket price is \$6.  For a certain movie, 210 tickets were sold and \$1500 was collected.  How many adult tickets were sold?
\begin{align*}
\text{A)}\ & 30 &
\text{B)}\ & 90\\
\text{C)}\ & 120  &
\text{D)}\ & 150\\
\end{align*}"
A,Attempt to isolate y by first isolating the yz term: $yz=x-3$. Then divide by $z$ for $y=\frac{x-3}{z}$.,Alg16,"Solve for $y:x-yz+5=8$
\begin{align*}
\text{A)}\ & y=\frac{x-3}{z} &
\text{B)}\ & y=\frac{x-13}{z} \\
\text{C)}\ & y=\frac{3-x}{z}  &
\text{D)}\ & y=\frac{13-x}{z}\\
\end{align*}"
B,"First, rearrange the second equation to \( y = \frac{3}{2}x + 10 \). Then plug this into the first equation for \( 3x + 20 - 3x = 20 \). This is obviously true so there must be infinite solutions.",AI-Algebra4,"Describe the type of solution for the linear system of equations defined by
\[
\left\{
\begin{array}{rcl}
2y - 3x &=& 20\\
-\frac{3}{2}x + y &=& 10
\end{array}
\right.
\]

\noindent Options:\\
A) no solution\\
B) infinite solutions\\
C) one solution\\
D) two solutions"
D,"Plug in -2 for $x$ in each equation and see if it works
I: $3\times 5=5\times 3$ works.\\
II: $4-2-6=0$ does not work.\\
III:$2\times-6=-2-10$ works. \\
IV: $4=4$ works.",Alg18,"Identify all of the following equations that have a solution of -2?
\begin{align*}
\text{I)}\ & 3(x+7)=5(x+5) &
\text{II)}\ & x^2+x-6=0\\
\text{III)}\ & 2(x-4)=x-10  &
\text{IV)}\ & x^2=4 \\
\end{align*} 

\begin{align*}
\text{A)}\ & I and III &
\text{B)}\ & II and IV\\
\text{C)}\ & I, II and IV  &
\text{D)}\ & I, III and IV\\
\end{align*}"
A,We will use the elimination method to get rid of $y$ by multiplying the first equation by 2 and subtracting the two equations from each other. This results in $17x=3$ so $x = \frac{3}{17}$ and $y = -\frac{32}{17}$.,Alg19,"What is the solution of the system of linear equations? 
\begin{align*}
    \left\{ \begin{array}{l}
    7x-2y=5\\
    -3x-4y=7
    \end{array}\right.
\end{align*}
\begin{align*}
\text{A)}\ & (\frac{3}{17},-\frac{32}{17}) &
\text{B)}\ & (-\frac{3}{17}, -\frac{32}{17})\\
\text{C)}\ &  (\frac{3}{17},\frac{32}{17}) &
\text{D)}\ & (-\frac{3}{17},\frac{32}{17})\\
\end{align*}"
D,Simplify the inequality into $-6x-8\geq -3x+13$. This is equivalent to $-3x\geq 21$ so $x\leq -7$.,Alg20,"What values of x make the inequality true? $4(x-2)-10x\geq -3x+13$
\begin{align*}
\text{A)}\ & \{x: x\geq 1\} &
\text{B)}\ & \{x: x\geq -7\}\\
\text{C)}\ & \{x: x\leq 1\}  &
\text{D)}\ & \{x: x\leq -7\}\\
\end{align*}"
C,"First find slope $\frac{14+4}{-5-4}=-2$, then use point-slope form on one of the points. $y+4 = -2(x-4)$. This simplifies to $y = -2x+4$. Convert to standard form.",Alg22,"What is the equation of the line that passes through the points $(4,-4)$ and $(-5, 14)$?
\begin{align*}
\text{A)}\ & x+2y=2 &
\text{B)}\ & 2x+3y=12\\
\text{C)}\ & 2x+y=4  &
\text{D)}\ & 3x-2y=-6\\
\end{align*}"
D,$c= -3n +60$ can be interpreted as the $\text{cost per person}=-3\times \text{number of people} +60$. So as more people join the cost per person decreases by 3 dollars per person joining.,Alg23,"The cost $c$ per person to participate in a guided mountain biking tour depends on the number of people $n$ participating in the tour. This relationship can be described by the function $c = -3n + 60$, where $0 < n < 12$. What is the rate of change described by this function?
\begin{align*}
\text{A)}\ & \text{20 people per tour} &
\text{B)}\ & \text{-3 people per tour}\\
\text{C)}\ &  \text{20\$ per person} &
\text{D)}\ & \text{-3\$ per person}\\
\end{align*}"
A,Plug in $-3$ for $x$ to arrive at $6\times (-3)^2+3-2 = 55$,Alg25,"Find $f(-3)$ if $f(x)=6x^2-x-2$.
\begin{align*}
\text{A)}\ & 55 &
\text{B)}\ & 53\\
\text{C)}\ &  -53 &
\text{D)}\ & -59\\
\end{align*}"
A,"If the bus travels for 12 minutes at 30 mph, the bus travels $30
\times 12/60$ miles or 6 miles. If the bus does the same trip in 18 minutes, it would be at a speed of $6/(18/60)$ or 20 miles per hour.",Alg26,"When Darcy’s school bus travels at 30 miles per hour, it gets from her home to school in 12 minutes. What is the speed of Darcy’s bus if it makes the same trip in 
	18 minutes?

\begin{align*}
\text{A)}\ & 20 \  \text{mph} &
\text{B)}\ & 28 \ \text{mph}\\
\text{C)}\ &  36 \  mph &
\text{D)}\ & 45\  mph\\
\end{align*}"
A,Find the constant rate by taking $26/650 = 0.04$. Then $800\times 0.04$ results in \$32.,Alg27,"The price of a package varies directly with the number of stickers in the package.   If a package contains 650 stickers and sells for \$26.00, what is the constant of variation? How much will 800 stickers cost?
\begin{align*}
\text{A)}\ & k = 0.04; \$32.00 &
\text{B)}\ &		k = 0.40; \$320.00
\\
\text{C)}\ &  		k = 6.24; \$806.24
 &
\text{D)}\ &		k = 25; \$20,000.00 
\\
\end{align*}"
D,A and B are both linear equations with a non zero slope so they must have an x intercept. Plug in $y = 0 $for the other two equations and attempt to solve a solution. D results in no solutions.,Alg28,"Which function does NOT have an x-intercept?
\begin{align*}
\text{A)}\ &y=\frac{1}{2}x-7&
\text{B)}\ & y=-\frac{1}{3}x-5\\
\text{C)}\ &  y=-x^2+2x+5 &
\text{D)}\ & y=x^2-2x+5\\
\end{align*}"
B,"Plug in $y = 0$ to solve for $x$ intercept: $5x-3\times 0 = -30, \ x = -6$. Plug in $x = 0$ to solve for $y$ intercept: $5\times 0-3y = -30,\ y = 10$.",Alg31,"What is the x-intercept and Y-intercept of the graph of  $5x – 3y = -30$?
\begin{align*}
\text{A)}\ &\text{The x-intercept is 6, and the y-intercept is -10}\\
\text{B)}\ &\text{The x-intercept is -6, and the y-intercept is 10}.
\\
\text{C)}\ &\text{The x-intercept is 10, and the y-intercept is -6}.
\\
\text{D)}\ & \text{The x-intercept is -10, and the y-intercept is 6}.
\\
\end{align*}"
A,Plug in the point: $-3 = 12+4\times 1-8$. True.,Alg32,"Is the point $(1,-3)$ a solution to the equation  $f(x) = x^2 +4x – 8$?
\begin{align*}
\text{A)}\ & \text{Yes} &
\text{B)}\ & \text{No}\\
\end{align*}"
B,Inverse variation means that $x\times y = c$. here $18\times 4 =72$ so we know our $c = 72$. Now we can plug in $x=12$ for $12\times y=72$. We get $y=6$.,Alg33,"If y varies inversely with x, and $x = 18$ when $y = 4$, find y when $x = 12$.
\begin{align*}
\text{A)}\ & y=3  &
\text{B)}\ & y=6\\
\text{C)}\ &  y=9 &
\text{D)}\ & y=54 \\
\end{align*}"
C,"First calculate total weeks to build a house. With 10 workers and 12 weeks, we have a total of 120 weeks. Taking 120 and dividing by 15 workers results in 8 weeks needed.",Alg34,"If 10 workers can build a house in 12 weeks, how long will it take 15 workers to build the same house?
\begin{align*}
\text{A)}\ &6  &
\text{B)}\ & 16\\
\text{C)}\ &  8 &
\text{D)}\ & 18\\
\end{align*}"
y=-5x-3,Parallel lines have the same slope but different y-intercepts.,Alg35,Write the equation of the line that has a y–intercept of –3 and is parallel to the line $y = -5x +1$.
4ft,"Use proportional representation to set up $3in/10ft = 1.2in/Xft$, cross multiplication $3x=12, x =4ft$.",Alg36,"A model house was built that states that 3 inches represents 10 ft.  If the width of the door on the model is 1.2 inches, what is the width of the actual door?"
-3,"$6(x+4) = 8x + 30\Rightarrow
                         6x+24  = 8x +30\Rightarrow
                              2x = - 6\Rightarrow
                                x = -3$",Alg37,The product of 4 more than a number and 6 is 30 more than 8 times the number.  What is the number?
